estrutura,tamanho,repeticao,tempoNs
ArrayLinear,100,0,519018
ArrayLinear,100,1,109571
ArrayLinear,100,2,107902
ArrayLinear,100,3,100030
ArrayLinear,100,4,84260
ArrayLinear,100,5,195994
ArrayLinear,100,6,87795
ArrayLinear,100,7,83113
ArrayLinear,100,8,83485
ArrayLinear,100,9,96665
ArrayLinear,100,10,91864
ArrayLinear,100,11,73218
ArrayLinear,100,12,119369
ArrayLinear,100,13,73376
ArrayLinear,100,14,73399
ArrayLinear,100,15,73220
ArrayLinear,100,16,73459
ArrayLinear,100,17,66485
ArrayLinear,100,18,63430
ArrayLinear,100,19,64167
ArrayLinear,100,20,72438
ArrayLinear,100,21,63820
ArrayLinear,100,22,64403
ArrayLinear,100,23,63988
ArrayLinear,100,24,64518
ArrayLinear,100,25,63670
ArrayLinear,100,26,63911
ArrayLinear,100,27,63378
ArrayLinear,100,28,63729
ArrayLinear,100,29,79750
ArrayBinario,100,0,244783
ArrayBinario,100,1,178391
ArrayBinario,100,2,125652
ArrayBinario,100,3,124531
ArrayBinario,100,4,124079
ArrayBinario,100,5,123430
ArrayBinario,100,6,203356
ArrayBinario,100,7,120911
ArrayBinario,100,8,73508
ArrayBinario,100,9,73225
ArrayBinario,100,10,72749
ArrayBinario,100,11,92462
ArrayBinario,100,12,72232
ArrayBinario,100,13,72810
ArrayBinario,100,14,72478
ArrayBinario,100,15,72572
ArrayBinario,100,16,75707
ArrayBinario,100,17,73384
ArrayBinario,100,18,90399
ArrayBinario,100,19,76282
ArrayBinario,100,20,72772
ArrayBinario,100,21,72987
ArrayBinario,100,22,72617
ArrayBinario,100,23,73842
ArrayBinario,100,24,72820
ArrayBinario,100,25,80278
ArrayBinario,100,26,72933
ArrayBinario,100,27,73278
ArrayBinario,100,28,72805
ArrayBinario,100,29,74470
ListaEncadeada,100,0,712675
ListaEncadeada,100,1,667354
ListaEncadeada,100,2,715323
ListaEncadeada,100,3,748578
ListaEncadeada,100,4,809964
ListaEncadeada,100,5,684284
ListaEncadeada,100,6,679864
ListaEncadeada,100,7,755281
ListaEncadeada,100,8,177650
ListaEncadeada,100,9,190698
ListaEncadeada,100,10,167735
ListaEncadeada,100,11,282242
ListaEncadeada,100,12,256244
ListaEncadeada,100,13,259014
ListaEncadeada,100,14,199668
ListaEncadeada,100,15,216776
ListaEncadeada,100,16,171052
ListaEncadeada,100,17,160389
ListaEncadeada,100,18,233579
ListaEncadeada,100,19,128536
ListaEncadeada,100,20,121716
ListaEncadeada,100,21,169449
ListaEncadeada,100,22,121941
ListaEncadeada,100,23,124984
ListaEncadeada,100,24,124744
ListaEncadeada,100,25,119227
ListaEncadeada,100,26,133492
