estrutura,tamanho,repeticao,tempoInsercaoNs,tempoBuscaNs,memoriaBytes
ArrayLinear,1000,0,85366,3246376,0
ArrayLinear,1000,1,98963,2830890,0
ArrayLinear,1000,2,44636,251029,0
ArrayLinear,1000,3,28917,213109,0
ArrayLinear,1000,4,132456,173845,0
ArrayLinear,1000,5,42410,212707,0
ArrayLinear,1000,6,45836,141379,0
ArrayLinear,1000,7,154644,187693,0
ArrayLinear,1000,8,185755,158783,0
ArrayLinear,1000,9,204657,142605,0
ArrayLinear,1000,10,41664,143431,0
ArrayLinear,1000,11,169386,226521,0
ArrayLinear,1000,12,28719,514272,0
ArrayLinear,1000,13,83962,141783,0
ArrayLinear,1000,14,35993,162932,0
ArrayLinear,1000,15,32556,405153,0
ArrayLinear,1000,16,31119,144353,0
ArrayLinear,1000,17,72975,144550,0
ArrayLinear,1000,18,113436,284626,0
ArrayLinear,1000,19,28645,198360,0
ArrayLinear,1000,20,33407,144780,0
ArrayLinear,1000,21,40108,145095,0
ArrayLinear,1000,22,39057,161764,0
ArrayLinear,1000,23,80910,208046,0
ArrayLinear,1000,24,150009,159403,0
ArrayLinear,1000,25,30326,328620,0
ArrayLinear,1000,26,34100,475911,0
ArrayLinear,1000,27,31043,160000,0
ArrayLinear,1000,28,43391,143823,0
ArrayLinear,1000,29,236098,165736,0
ArrayBinario,1000,0,1477565,964054,184
ArrayBinario,1000,1,753750,259636,0
ArrayBinario,1000,2,384896,293974,0
ArrayBinario,1000,3,481977,106868,0
ArrayBinario,1000,4,582256,278828,0
ArrayBinario,1000,5,355623,109730,0
ArrayBinario,1000,6,1232051,101409,0
ArrayBinario,1000,7,404273,109962,0
ArrayBinario,1000,8,393705,235316,0
ArrayBinario,1000,9,390822,148221,0
ArrayBinario,1000,10,283131,86314,0
ArrayBinario,1000,11,153777,84752,0
ArrayBinario,1000,12,123794,73392,0
ArrayBinario,1000,13,248148,92308,0
ArrayBinario,1000,14,97826,162930,0
ArrayBinario,1000,15,144718,133108,0
ArrayBinario,1000,16,149330,127268,0
ArrayBinario,1000,17,113317,78033,0
ArrayBinario,1000,18,124044,84286,0
ArrayBinario,1000,19,412917,80561,136
ArrayBinario,1000,20,269054,68656,0
ArrayBinario,1000,21,376476,68927,0
ArrayBinario,1000,22,97475,103976,0
ArrayBinario,1000,23,219239,89421,2248
ArrayBinario,1000,24,203687,98333,0
ArrayBinario,1000,25,200336,113220,0
ArrayBinario,1000,26,170631,103422,0
ArrayBinario,1000,27,106199,120288,0
ArrayBinario,1000,28,153344,130338,0
ArrayBinario,1000,29,112727,83235,0
ListaEncadeada,1000,0,547407,3095972,24352
ListaEncadeada,1000,1,35273,3437828,24000
ListaEncadeada,1000,2,34666,4069688,24000
ListaEncadeada,1000,3,57963,4860155,24000
ListaEncadeada,1000,4,61925,4153469,24000
ListaEncadeada,1000,5,112463,3157569,24000
ListaEncadeada,1000,6,66595,6309686,24000
ListaEncadeada,1000,7,44629,6708017,24000
ListaEncadeada,1000,8,52465,6284404,24000
ListaEncadeada,1000,9,54868,7020362,24000
ListaEncadeada,1000,10,47693,5640932,24000
ListaEncadeada,1000,11,47998,3664109,24000
ListaEncadeada,1000,12,29535,3729426,24000
ListaEncadeada,1000,13,42263,2668269,24000
ListaEncadeada,1000,14,56816,1371805,24000
ListaEncadeada,1000,15,60074,1260494,24000
ListaEncadeada,1000,16,158559,1019826,24000
